,Date,Close
0,2021-11-23,57569.07421875
1,2021-11-24,56280.42578125
2,2021-11-25,57274.6796875
3,2021-11-26,53569.765625
4,2021-11-27,54815.078125
5,2021-11-28,57248.45703125
6,2021-11-29,57806.56640625
7,2021-11-30,57005.42578125
8,2021-12-01,57229.828125
9,2021-12-02,56477.81640625
10,2021-12-03,53598.24609375
11,2021-12-04,49200.703125
12,2021-12-05,49368.84765625
13,2021-12-06,50582.625
14,2021-12-07,50700.0859375
15,2021-12-08,50504.796875
16,2021-12-09,47672.12109375
17,2021-12-10,47243.3046875
18,2021-12-11,49362.5078125
19,2021-12-12,50098.3359375
20,2021-12-13,46737.48046875
21,2021-12-14,46612.6328125
22,2021-12-15,48896.72265625
23,2021-12-16,47665.42578125
24,2021-12-17,46202.14453125
25,2021-12-18,46848.77734375
26,2021-12-19,46707.015625
27,2021-12-20,46880.27734375
28,2021-12-21,48936.61328125
29,2021-12-22,48628.51171875
30,2021-12-23,50784.5390625
31,2021-12-24,50822.1953125
32,2021-12-25,50429.859375
33,2021-12-26,50809.515625
34,2021-12-27,50640.41796875
35,2021-12-28,47588.85546875
36,2021-12-29,46444.7109375
37,2021-12-30,47178.125
38,2021-12-31,46306.4453125
39,2022-01-01,47686.8125
40,2022-01-02,47345.21875
41,2022-01-03,46458.1171875
42,2022-01-04,45897.57421875
43,2022-01-05,43569.00390625
44,2022-01-06,43160.9296875
45,2022-01-07,41557.90234375
46,2022-01-08,41733.94140625
47,2022-01-09,41911.6015625
48,2022-01-10,41821.26171875
49,2022-01-11,42735.85546875
50,2022-01-12,43949.1015625
51,2022-01-13,42591.5703125
52,2022-01-14,43099.69921875
53,2022-01-15,43177.3984375
54,2022-01-16,43113.87890625
55,2022-01-17,42250.55078125
56,2022-01-18,42375.6328125
57,2022-01-19,41744.328125
58,2022-01-20,40680.41796875
59,2022-01-21,36457.31640625
60,2022-01-22,35030.25
61,2022-01-23,36276.8046875
62,2022-01-24,36654.328125
63,2022-01-25,36954.00390625
64,2022-01-26,36852.12109375
65,2022-01-27,37138.234375
66,2022-01-28,37784.33203125
67,2022-01-29,38138.1796875
68,2022-01-30,37917.6015625
69,2022-01-31,38483.125
70,2022-02-01,38743.2734375
71,2022-02-02,36952.984375
72,2022-02-03,37154.6015625
73,2022-02-04,41500.875
74,2022-02-05,41441.1640625
75,2022-02-06,42412.43359375
76,2022-02-07,43840.28515625
77,2022-02-08,44118.4453125
78,2022-02-09,44338.796875
79,2022-02-10,43565.11328125
80,2022-02-11,42407.9375
81,2022-02-12,42244.46875
82,2022-02-13,42197.515625
83,2022-02-14,42586.91796875
84,2022-02-15,44575.203125
85,2022-02-16,43961.859375
86,2022-02-17,40538.01171875
87,2022-02-18,40030.9765625
88,2022-02-19,40122.15625
89,2022-02-20,38431.37890625
90,2022-02-21,37075.28125
91,2022-02-22,38286.02734375
92,2022-02-23,37296.5703125
93,2022-02-24,38332.609375
94,2022-02-25,39214.21875
95,2022-02-26,39105.1484375
96,2022-02-27,37709.78515625
97,2022-02-28,43193.234375
98,2022-03-01,44354.63671875
99,2022-03-02,43924.1171875
100,2022-03-03,42451.7890625
101,2022-03-04,39137.60546875
102,2022-03-05,39400.5859375
103,2022-03-06,38419.984375
104,2022-03-07,38062.0390625
105,2022-03-08,38737.26953125
106,2022-03-09,41982.92578125
107,2022-03-10,39437.4609375
108,2022-03-11,38794.97265625
109,2022-03-12,38904.01171875
110,2022-03-13,37849.6640625
111,2022-03-14,39666.75390625
112,2022-03-15,39338.78515625
113,2022-03-16,41143.9296875
114,2022-03-17,40951.37890625
115,2022-03-18,41801.15625
116,2022-03-19,42190.65234375
117,2022-03-20,41247.82421875
118,2022-03-21,41077.99609375
119,2022-03-22,42358.80859375
120,2022-03-23,42892.95703125
121,2022-03-24,43960.93359375
122,2022-03-25,44348.73046875
123,2022-03-26,44500.828125
124,2022-03-27,46820.4921875
125,2022-03-28,47128.00390625
126,2022-03-29,47465.73046875
127,2022-03-30,47062.6640625
128,2022-03-31,45538.67578125
129,2022-04-01,46281.64453125
130,2022-04-02,45868.94921875
131,2022-04-03,46453.56640625
132,2022-04-04,46622.67578125
133,2022-04-05,45555.9921875
134,2022-04-06,43206.73828125
135,2022-04-07,43503.84765625
136,2022-04-08,42287.6640625
137,2022-04-09,42782.13671875
138,2022-04-10,42207.671875
139,2022-04-11,39521.90234375
140,2022-04-12,40127.18359375
141,2022-04-13,41166.73046875
142,2022-04-14,39935.515625
143,2022-04-15,40553.46484375
144,2022-04-16,40424.484375
145,2022-04-17,39716.953125
146,2022-04-18,40826.21484375
147,2022-04-19,41502.75
148,2022-04-20,41374.37890625
149,2022-04-21,40527.36328125
150,2022-04-22,39740.3203125
151,2022-04-23,39486.73046875
152,2022-04-24,39469.29296875
153,2022-04-25,40458.30859375
154,2022-04-26,38117.4609375
155,2022-04-27,39241.12109375
156,2022-04-28,39773.828125
157,2022-04-29,38609.82421875
158,2022-04-30,37714.875
159,2022-05-01,38469.09375
160,2022-05-02,38529.328125
161,2022-05-03,37750.453125
162,2022-05-04,39698.37109375
163,2022-05-05,36575.140625
164,2022-05-06,36040.921875
165,2022-05-07,35501.953125
166,2022-05-08,34059.265625
167,2022-05-09,30296.953125
168,2022-05-10,31022.90625
169,2022-05-11,28936.35546875
170,2022-05-12,29047.751953125
171,2022-05-13,29283.103515625
172,2022-05-14,30101.265625
173,2022-05-15,31305.11328125
174,2022-05-16,29862.91796875
175,2022-05-17,30425.857421875
176,2022-05-18,28720.271484375
177,2022-05-19,30314.333984375
178,2022-05-20,29200.740234375
179,2022-05-21,29432.2265625
180,2022-05-22,30323.72265625
181,2022-05-23,29098.91015625
182,2022-05-24,29655.5859375
183,2022-05-25,29562.361328125
184,2022-05-26,29267.224609375
185,2022-05-27,28627.57421875
186,2022-05-28,28814.900390625
187,2022-05-29,29445.95703125
188,2022-05-30,31726.390625
189,2022-05-31,31792.310546875
190,2022-06-01,29799.080078125
191,2022-06-02,30467.48828125
192,2022-06-03,29704.390625
193,2022-06-04,29832.9140625
194,2022-06-05,29906.662109375
195,2022-06-06,31370.671875
196,2022-06-07,31155.478515625
197,2022-06-08,30214.35546875
198,2022-06-09,30111.998046875
199,2022-06-10,29083.8046875
200,2022-06-11,28360.810546875
201,2022-06-12,26762.6484375
